title,region__title,country_title
Тверь,Тверская область,Россия
Томск,Томская область,Россия
Тула,Тульская область,Россия
Улан-Удэ,Республика Бурятия,Россия
Чебоксары,Чувашская Республика,Россия
Черкесск,Карачаево-Черкесская Республика,Россия
Чита,Забайкальский край,Россия
Элиста,Республика Калмыкия,Россия
Южно-Сахалинск,Сахалинская область,Россия
Якутск,Республика Саха,Россия
"Федино (Московская об, Воскресенский р)",Московская область,Россия
Холм-Жирковский (Смоленская область),Смоленская область,Россия
"Храброво (Калининградская, Гурьевский)",Калининградская область,Россия
1-е Цветово (Курская область),Курская область,Россия
Абадзехская (Республика Адыгея),Республика Адыгея,Россия
Абаза,Республика Хакасия,Россия
Абан,Красноярский край,Россия
Абатский,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Абатское (Тюменская область),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Абдулино,Оренбургская область,Россия
Абзаево (Кигинский район),Республика Башкортостан,Россия
"Абзаково (Башкортостан, Белорецкий р)",Республика Башкортостан,Россия
Абинск,Краснодарский край,Россия
"Абрамово (Нижегородская, Арзамасский)",Нижегородская область,Россия
"Абрамово (Новосибирская, Куйбышевский р)",Новосибирская область,Россия
Абрау-Дюрсо,Краснодарский край,Россия
Авангард,Приморский край,Россия
Аввакумово (Тверская область),Тверская область,Россия
Авдон,Республика Башкортостан,Россия
"Авдотьино (Московская обл., Домодедово)",Московская область,Россия
Авсюнино (Московская область),Московская область,Россия
Агалатово,Ленинградская область,Россия
Агаповка,Челябинская область,Россия
Агидель,Республика Башкортостан,Россия
Агинское,Забайкальский край,Россия
"Агой (Краснодарский край, Туапсинский р)",Краснодарский край,Россия
Агроном,Краснодарский край,Россия
Агрыз,Республика Татарстан,Россия
"Агуй-Шапсуг (Краснодарский, Туапсинский)",Краснодарский край,Россия
Адамовка,Оренбургская область,Россия
Адлер,Краснодарский край,Россия
Адыге-Хабль,Карачаево-Черкесская Республика,Россия
Адыгейск,Республика Адыгея,Россия
"Адык (Калмыкия, Черноземельский р.)",Республика Калмыкия,Россия
Азнакаево,Республика Татарстан,Россия
Азов,Ростовская область,Россия
Азово,Омская область,Россия
Азовская,Краснодарский край,Россия
Айкино,Республика Коми,Россия
Айхал,Республика Саха,Россия
Айша,Республика Татарстан,Россия
Ак-Довурак,Республика Тыва,Россия
Акбарисово (Республика Башкортостан),Республика Башкортостан,Россия
Акбулак,Оренбургская область,Россия
Акимовка (Запорожская область),Запорожская область,Россия
Акрополис (Республика Крым),Республика Крым,Россия
Аксай,Ростовская область,Россия
"Аксаково (Московская об, Мытищинский р)",Московская область,Россия
Аксаково (Республика Башкортостан),Республика Башкортостан,Россия
Аксарка(Ямало-Ненецкий автономный округ),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Аксеново-Зиловское,Забайкальский край,Россия
Актаныш,Республика Татарстан,Россия
Акташ (Республика Алтай),Республика Алтай,Россия
Актюбинский,Республика Татарстан,Россия
"Акулово (Московская обл., Одинцовский р)",Московская область,Россия
Акуша (Республика Дагестан),Республика Дагестан,Россия
Акша,Забайкальский край,Россия
Акъяр,Республика Башкортостан,Россия
Алабино,Московская область,Россия
Алабушево (Московская область),Московская область,Россия
Алагир,Республика Северная Осетия - Алания,Россия
Алакуртти,Мурманская область,Россия
Алапаевск,Свердловская область,Россия
Алатырь,Чувашская Республика,Россия
Алгатуй (Иркутская область),Иркутская область,Россия
Алдан,Республика Саха,Россия
Алейск,Алтайский край,Россия
Алеканово (Рязанская область),Рязанская область,Россия
Александрийская,Ставропольский край,Россия
Александро-Невский,Рязанская область,Россия
Александров,Владимирская область,Россия
Александров Гай,Саратовская область,Россия
"Александровка (Алтай, Майминский р.)",Республика Алтай,Россия
Александровка (Алтайский край),Алтайский край,Россия
Александровка (Волгоградская область),Волгоградская область,Россия
Александровка (Оренбургская область),Оренбургская область,Россия
Александровка (Ростовская область),Ростовская область,Россия
Александровка (Самарская область),Самарская область,Россия
"Александровка (Саратовская, Саратовский)",Саратовская область,Россия
Александровск,Пермский край,Россия
Александровск-Сахалинский,Сахалинская область,Россия
Александровская (Санкт-Петербург),Ленинградская область,Россия
Александровский Завод,Забайкальский край,Россия
Александровское,Томская область,Россия
Александровское (Ставропольский край),Ставропольский край,Россия
Алексеевка (Белгородская область),Белгородская область,Россия
Алексеевка (Самарская область),Самарская область,Россия
Алексеевка (Сорочинский район),Оренбургская область,Россия
"Алексеевка (Уфимский р-н, Башкортостан)",Республика Башкортостан,Россия
Алексеевск (Иркутская область),Иркутская область,Россия
Алексеевская (Волгоградская область),Волгоградская область,Россия
Алексеевское,Республика Татарстан,Россия
Алексин,Тульская область,Россия
Алзамай,Иркутская область,Россия
Али-Юрт,Республика Ингушетия,Россия
Аликово,Чувашская Республика,Россия
Алкино-2,Республика Башкортостан,Россия
Алнаши,Удмуртская Республика,Россия
Алтайское,Алтайский край,Россия
Алтуд,Кабардино-Балкарская Республика,Россия
Алупка,Республика Крым,Россия
Алушта,Республика Крым,Россия
Алхо,Республика Карелия,Россия
Алча (Астраханская область),Астраханская область,Россия
Алчевск,Луганская Народная Республика,Россия
Альменево,Курганская область,Россия
Альметьевск,Республика Татарстан,Россия
Амазар,Забайкальский край,Россия
"Амаранка (Амурская обл., Ромненский р.)",Амурская область,Россия
Амвросиевка,Донецкая Народная Республика,Россия
Амга,Республика Саха,Россия
Амгунь (Хабаровский край),Хабаровский край,Россия
Амдерма,Архангельская область,Россия
Амурзет,Еврейская автономная область,Россия
Амурск,Хабаровский край,Россия
Анапа,Краснодарский край,Россия
Анапская,Краснодарский край,Россия
Анастасиевка (Ростовская обл.),Ростовская область,Россия
Анастасиевская,Краснодарский край,Россия
Анастасьевка,Хабаровский край,Россия
Ангарск,Иркутская область,Россия
Анди,Республика Дагестан,Россия
Андреаполь,Тверская область,Россия
Андреевка,Московская область,Россия
"Андреево (Владимирская об, Судогодский)",Владимирская область,Россия
"Андреевское (Московская обл., Ленинский)",Московская область,Россия
Андрейково (Смоленская область),Смоленская область,Россия
"Андронниково (Ленинград., Тихвинский р.)",Ленинградская область,Россия
Анжеро-Судженск,Кемеровская область,Россия
Анива,Сахалинская область,Россия
Анискино,Московская область,Россия
Анкудиновка (Нижегородская область),Нижегородская область,Россия
Анна,Воронежская область,Россия
Анненский Мост,Вологодская область,Россия
"Аннино (Ленинградская, Ломоносовский р)",Ленинградская область,Россия
Анопино (Владимирская область),Владимирская область,Россия
Аносино (Московская область),Московская область,Россия
Антелево (Ленинградская область),Ленинградская область,Россия
Антипино,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Антрацит,Луганская Народная Республика,Россия
Антропово,Костромская область,Россия
Анучино,Приморский край,Россия
"Апаринки (Московская об, Ленинский р.)",Московская область,Россия
Апаринский (Ростовская обл.),Ростовская область,Россия
Апастово,Республика Татарстан,Россия
Апатиты,Мурманская область,Россия
Апрелевка,Московская область,Россия
Апшеронск,Краснодарский край,Россия
Арамиль,Свердловская область,Россия
Арбаж,Кировская область,Россия
Аргаяш,Челябинская область,Россия
Аргудан (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
Аргун,Чеченская Республика,Россия
Ардатов,Нижегородская область,Россия
Ардатов (Мордовия),Республика Мордовия,Россия
Ардон,Республика Северная Осетия - Алания,Россия
Арзамас,Нижегородская область,Россия
Арзгир,Ставропольский край,Россия
Аркадак,Саратовская область,Россия
Армавир (Краснодарский край),Краснодарский край,Россия
Армизонское,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Армянск,Республика Крым,Россия
Арово (Республика Башкортостан),Республика Башкортостан,Россия
Аромашево,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Арсеньев,Приморский край,Россия
Арск,Республика Татарстан,Россия
Артезиан (Республика Калмыкия),Республика Калмыкия,Россия
Артем,Приморский край,Россия
Артемовск,Донецкая Народная Республика,Россия
Артемовск (Луганская область),Луганская Народная Республика,Россия
Артемовский,Свердловская область,Россия
Арти,Свердловская область,Россия
Архангеловка (Оренбургский район),Оренбургская область,Россия
Архангельская,Краснодарский край,Россия
Архангельское,Республика Башкортостан,Россия
Архара,Амурская область,Россия
Архипо-Осиповка,Краснодарский край,Россия
Архиповка (Оренбургская область),Оренбургская область,Россия
Архонская,Республика Северная Осетия - Алания,Россия
Архыз,Карачаево-Черкесская Республика,Россия
Аршан-Булг (Республика Калмыкия),Республика Калмыкия,Россия
Асбест,Свердловская область,Россия
Асекеево,Оренбургская область,Россия
Асино,Томская область,Россия
Аскарово,Республика Башкортостан,Россия
Аскиз,Республика Хакасия,Россия
Аскино (Башкортостан),Республика Башкортостан,Россия
Асмолово (Калужская область),Калужская область,Россия
Атажукино,Кабардино-Балкарская Республика,Россия
"Атамановка (Забайкальский край, Чита)",Забайкальский край,Россия
"Атаманово (Кемеровская, Новокузнецкий)",Кемеровская область,Россия
Атаманская,Краснодарский край,Россия
Атепцево (Московская область),Московская область,Россия
Атиг,Свердловская область,Россия
Аткарск,Саратовская область,Россия
Атнары (Республика Чувашия),Чувашская Республика,Россия
Атняш (Республика Башкортостан),Республика Башкортостан,Россия
Атяшево,Республика Мордовия,Россия
Аушигер (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
Афанасьево,Нижегородская область,Россия
Афипский,Краснодарский край,Россия
Афонино,Нижегородская область,Россия
Ахмат-Юрт (Чеченская Республика),Чеченская Республика,Россия
Ахтубинск,Астраханская область,Россия
Ахты,Республика Дагестан,Россия
Ахтырский,Краснодарский край,Россия
Ачикулак,Ставропольский край,Россия
"Ачинеры (Калмыкия, Черноземельский р.)",Республика Калмыкия,Россия
Ачинск,Красноярский край,Россия
Ачхой-Мартан,Чеченская Республика,Россия
Аша,Челябинская область,Россия
Ашап (Пермский край),Пермский край,Россия
Ашитково (Московская обл.),Московская область,Россия
Ашмарино (Кемеровская область),Кемеровская область,Россия
Ашукино,Московская область,Россия
Ащерино (Московская область),Московская область,Россия
Аян (Хабаровский край),Хабаровский край,Россия
Аятское (Свердловская область),Свердловская область,Россия
Бабаево,Вологодская область,Россия
Бабаюрт,Республика Дагестан,Россия
Бабино (Ленинградская обл. Волховский р),Ленинградская область,Россия
Бабынино,Калужская область,Россия
Бабяково,Воронежская область,Россия
Бавлены (Владимирская область),Владимирская область,Россия
Бавлы,Республика Татарстан,Россия
Багаевская,Ростовская область,Россия
Баган,Новосибирская область,Россия
Багдарин,Республика Бурятия,Россия
Баграмово (Рязанская область),Рязанская область,Россия
Багратионовск,Калининградская область,Россия
Бада,Забайкальский край,Россия
Баево,Алтайский край,Россия
База Дрофа,Хабаровский край,Россия
Базанчатово (Республика Башкортостан),Республика Башкортостан,Россия
Базарная Сырга,Ульяновская область,Россия
Базарные Матаки,Республика Татарстан,Россия
Базарный Карабулак,Саратовская область,Россия
Базарный Сызган,Ульяновская область,Россия
"Базковская (Ростовская, Шолоховский р)",Ростовская область,Россия
Бай-Хаак,Республика Тыва,Россия
Байбек (Астраханская область),Астраханская область,Россия
"Байдики (Рязанская обл., Захаровский р.)",Рязанская область,Россия
Байкалово,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Байкальск,Иркутская область,Россия
Баймак,Республика Башкортостан,Россия
Бакал,Челябинская область,Россия
Бакалы,Республика Башкортостан,Россия
Баклаши (Иркутская обл.),Иркутская область,Россия
Баксан,Кабардино-Балкарская Республика,Россия
Баксаненок (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
Бакчар,Томская область,Россия
Балабаново,Калужская область,Россия
Балаганск,Иркутская область,Россия
Балакирево,Владимирская область,Россия
Балаклава,Республика Крым,Россия
Балаково,Саратовская область,Россия
Балахна,Нижегородская область,Россия
Балахнинский (Иркутская область),Иркутская область,Россия
Балахта (Красноярский край),Красноярский край,Россия
Балашиха,Московская область,Россия
Балашов,Саратовская область,Россия
Балезино,Удмуртская Республика,Россия
"Балезино-3 (Удмуртия, Балезенский р.)",Удмуртская Республика,Россия
Балей,Забайкальский край,Россия
Балтай,Саратовская область,Россия
Балтаси,Республика Татарстан,Россия
Балтийск,Калининградская область,Россия
Балтым,Свердловская область,Россия
Балыкса,Республика Хакасия,Россия
Баляга,Забайкальский край,Россия
Бамматюрт,Республика Дагестан,Россия
Барабаш,Приморский край,Россия
Барабинск,Новосибирская область,Россия
Барано-Оренбургское,Приморский край,Россия
Баратаевка (Ульяновская область),Ульяновская область,Россия
"Барвиха (Московская обл., Одинцовский р)",Московская область,Россия
Баргузин,Республика Бурятия,Россия
Барда (Пермский край),Пермский край,Россия
"Барлак (Новосибирская, Мошковский р.)",Новосибирская область,Россия
Барсово,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Барсуки,Республика Ингушетия,Россия
Барсуковская,Ставропольский край,Россия
Барыбино,Московская область,Россия
Барыш,Ульяновская область,Россия
Барятино,Калужская область,Россия
Батагай,Республика Саха,Россия
Батайск,Ростовская область,Россия
Баталово (Алтайский край),Алтайский край,Россия
Батецкий,Новгородская область,Россия
Батрак (Пензенская область),Пензенская область,Россия
Батырево,Чувашская Республика,Россия
Батырша-Кубово (Республика Башкортостан),Республика Башкортостан,Россия
Батюшково (Московская область),Московская область,Россия
Бахчисарай,Республика Крым,Россия
Бачатский,Кемеровская область,Россия
Башмаково,Пензенская область,Россия
Бегуницы (Ленинградская область),Ленинградская область,Россия
Беднягина (Краснодарский край),Краснодарский край,Россия
Бежаницы,Псковская область,Россия
Бежецк,Тверская область,Россия
Безенги (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
Безенчук,Самарская область,Россия
Безлыченское (Рязанская область),Рязанская область,Россия
Безменово (Новосибирская область),Новосибирская область,Россия
Безопасное,Ставропольский край,Россия
Бекетово (Республика Башкортостан),Республика Башкортостан,Россия
Беково,Пензенская область,Россия
Белая,Курская область,Россия
Белая Берёзка,Брянская область,Россия
Белая Глина,Краснодарский край,Россия
Белая Калитва,Ростовская область,Россия
Белая Холуница,Кировская область,Россия
Белебей,Республика Башкортостан,Россия
Белёв,Тульская область,Россия
Белеутово (Московская область),Московская область,Россия
Белиджи,Республика Дагестан,Россия
Беликово (Московская область),Московская область,Россия
Белинский,Пензенская область,Россия
Белобородово (Новосибирская область),Новосибирская область,Россия
Беловка (Оренбургская область),Оренбургская область,Россия
Белово,Кемеровская область,Россия
Беловодск (Луганская область),Луганская Народная Республика,Россия
"Белогорка (Ленинградская об, Гатчинский)",Ленинградская область,Россия
Белогорск (Амурская область),Амурская область,Россия
Белогорск (Кемеровская область),Кемеровская область,Россия
Белогорск (Крым),Республика Крым,Россия
"Белогостицы (Ярославская, Ростовский р)",Ярославская область,Россия
Белое (Луганская область),Луганская Народная Республика,Россия
Белое (Республика Адыгея),Республика Адыгея,Россия
Белоево (Пермский край),Пермский край,Россия
Белозерный,Краснодарский край,Россия
Белозерск,Вологодская область,Россия
Белозерское,Курганская область,Россия
Белокаменка (Мурманская область),Мурманская область,Россия
Белокуракино (Луганская область),Луганская Народная Республика,Россия
Белокуриха,Алтайский край,Россия
Беломорск,Республика Карелия,Россия
"Белоносово (Челябинская, Еткульский р.))",Челябинская область,Россия
Белоозерский,Московская область,Россия
Белоомут,Московская область,Россия
Белорецк,Республика Башкортостан,Россия
Белореченск,Краснодарский край,Россия
Белореченский (Иркутская обл.),Иркутская область,Россия
Белоусово,Калужская область,Россия
Белоярский (Саратовская область),Саратовская область,Россия
Белоярский (Свердловская обл.),Свердловская область,Россия
Белоярский (Тюменская область),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
"Белоярский (Ханты-Мансийский АО, Югра)","Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Белые Берега,Брянская область,Россия
Белый,Тверская область,Россия
Белый Раст (Московская область),Московская область,Россия
Белый Яр,Томская область,Россия
Бельтирское (Республика Хакасия),Республика Хакасия,Россия
Бельтырское,Республика Хакасия,Россия
"Беляев (Ставропол. кр,Изобильненский р.)",Ставропольский край,Россия
Беляевка,Оренбургская область,Россия
Беляная Гора (Московская область),Московская область,Россия
Беляницы,Ивановская область,Россия
Бердск,Новосибирская область,Россия
Бердюжье,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Бердянка (Оренбургская область),Оренбургская область,Россия
Бердянск,Запорожская область,Россия
"Берегаево (Томская об, Тегульдетский р.)",Томская область,Россия
Береговой (Амурская область),Амурская область,Россия
Береж (Красноярский край),Красноярский край,Россия
Бережки (городской округ Подольск),Московская область,Россия
Бережная (Архангельская область),Архангельская область,Россия
Березанская,Краснодарский край,Россия
"Березиково (Новосибирская, Тогучинский)",Новосибирская область,Россия
Березичский Стеклозавод (Калужская обл.),Калужская область,Россия
Березник,Архангельская область,Россия
Березники,Пермский край,Россия
Березняки (Московская область),Московская область,Россия
Березовка,Красноярский край,Россия
Березово,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Березовский (Кемеровская область),Кемеровская область,Россия
Березовский (Свердловская область),Свердловская область,Россия
Березовый (Краснодарский край),Краснодарский край,Россия
Берёзовый (Хабаровский край),Хабаровский край,Россия
Береславка,Волгоградская область,Россия
Берестовка (Оренбургская область),Оренбургская область,Россия
Беринговский,Чукотский автономный округ,Россия
Берислав,Херсонская область,Россия
Беркино (Московская область),Московская область,Россия
Бершеть,Пермский край,Россия
Беседы (Московская область),Московская область,Россия
Беслан,Республика Северная Осетия - Алания,Россия
Беспаловский (Алтайский край),Алтайский край,Россия
Бесскорбная,Краснодарский край,Россия
Бессоновка,Пензенская область,Россия
Бетлица,Калужская область,Россия
"Бехтеевка (Белгородская, Корочанский р)",Белгородская область,Россия
"Беш-Озек (Алтай, Шебалинский район)",Республика Алтай,Россия
Бея,Республика Хакасия,Россия
Бжид (Краснодарский край),Краснодарский край,Россия
Бижбуляк,Республика Башкортостан,Россия
Бийск,Алтайский край,Россия
Бик-Кармалы (Республика Башкортостан),Республика Башкортостан,Россия
Бикеево (Республика Башкортостан),Республика Башкортостан,Россия
Бикин,Хабаровский край,Россия
Биккулово (Бижбулякский район),Республика Башкортостан,Россия
Билибино,Чукотский автономный округ,Россия
Бирикчуль (Республика Хакасия),Республика Хакасия,Россия
Бирск,Республика Башкортостан,Россия
Бирск (Республика Башкортостан),Республика Башкортостан,Россия
Бирюсинск,Иркутская область,Россия
Бирюч,Белгородская область,Россия
Бирючья Коса (Астраханская область),Астраханская область,Россия
Бискамжа (Республика Хакасия),Республика Хакасия,Россия
Битца (Московская область),Московская область,Россия
Бичура,Республика Бурятия,Россия
Бишкураево (Туймазинский район),Республика Башкортостан,Россия
Благовещенка,Алтайский край,Россия
Благовещенск (Башкортостан),Республика Башкортостан,Россия
Благодарное (Тюльганский район),Оренбургская область,Россия
Благодарный,Ставропольский край,Россия
Благодатное,Ставропольский край,Россия
Блечепсин (Республика Адыгея),Республика Адыгея,Россия
Ближние Прудищи (Московская область),Московская область,Россия
Бобров,Воронежская область,Россия
Бобровка (Курманаевский район),Оренбургская область,Россия
Боброво (Ленинский район),Московская область,Россия
"Бобровский (Свердловская, Сысертский)",Свердловская область,Россия
Бованенково (газовое месторождение),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Богандинский,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Богатое,Самарская область,Россия
Богатые Сабы,Республика Татарстан,Россия
Богашёво,Томская область,Россия
Богашёво(Томская область),Томская область,Россия
Богданович,Свердловская область,Россия
Богдановка (Оренбургская область),Оренбургская область,Россия
Богданово (Республика Башкортостан),Республика Башкортостан,Россия
Боговарово,Костромская область,Россия
Богородицк,Тульская область,Россия
Богородск,Нижегородская область,Россия
Богородское (Сергиево-Посадский район),Московская область,Россия
Богословка (Пензенский район),Пензенская область,Россия
Богословка (Усть-Таркский район),Новосибирская область,Россия
"Богослово (Московская обл, Щелковский р)",Московская область,Россия
