profession,company,vac_description,experience,region,country,company_staff_count,salary,education
Golang разработчик (Senior),Kinescope,"['Saas', 'Go', 'понимание']",3,Московская область,Россия,,350000.0,
Senior Python разработчик,Сбер. IT,"['Django', 'Framework', 'FastAPI', 'знание', 'Django Rest Framework', 'REST', 'Flask', 'Python', 'Rest Framework', 'SQL', 'Django Rest']",6,Московская область,Россия,,,
Разработчик 1С УХ,getmatch,"['управление', '1С', '1С:Управление холдингом', 'технологии']",3,Московская область,Россия,,,
Веб-разработчик (Frontend),DELTA,"['JavaScript', 'HTML5', 'знание', 'CSS3', 'CMS']",1,Московская область,Россия,,60000.0,
React Native разработчик,ООО Бизнес Совет,"['JavaScript', 'React Native', 'знание', 'Native', 'React', 'TypeScript']",1,Московская область,Россия,,150000.0,
Разработчик C/C++ (Middle+),НДМ Системы,"['kernel', 'Linux', 'Программирование', 'DMA', 'io', 'понимание']",1,Московская область,Россия,,,
Разработчик 1С,Национальный исследовательский университет Высшая школа экономики,"['it', 'СКД', 'http-сервисы', 'SQL', 'сервисы', 'HTTP']",3,Московская область,Россия,,,
Ведущий разработчик C#,Bip.ru,"['API', 'C', 'СУБД', 'C#', 'Web Api', 'Web']",3,Московская область,Россия,,350000.0,
Фронтенд разработчик (React),Bell Integrator,"['JavaScript', 'знание', 'TypeScript', 'React', 'понимание']",3,Московская область,Россия,,,
Frontend-разработчик (React),МПФИТ,"['JavaScript', 'знание', 'Legacy', 'TypeScript', 'React', 'миграции']",3,Московская область,Россия,,,
Android-разработчик Middle+,ООО Джем-Софт,,6,Московская область,Россия,,275000.0,
Разработчик Cloudera AI,IBS,"['AI', 'Spark', 'AWS', 'Databricks', 'Python', 'cloudera', 'Tensorflow', 'SQL', 'sagemaker']",3,Московская область,Россия,,,
Python-разработчик/аналитик,ЭКОПСИ Консалтинг,"['знание', 'производительности', 'Python', 'async/await', 'Async', 'python 3.13', 'оптимизация', 'Await']",1,Московская область,Россия,,,
Java-разработчик Senior,Bell Integrator Регионы,"['Java 11', 'boot', 'Spring', 'Spring Boot', 'Java', 'java 11+']",3,Московская область,Россия,,,
Разработчик С++ (junior),ООО Уникальные Волоконные Приборы - Комплексные Системы,['Информационные системы'],1,Московская область,Россия,,115000.0,
Разработчик чат ботов телеграмм,ООО Вбтрейдингквд,"['Node.js', 'API', 'Backend', 'Python', 'Telegram', 'данных']",1,Московская область,Россия,,85000.0,
Java разработчик eFX,Т1 Иннотех,['Java'],1,Московская область,Россия,,,
Middle Backend-разработчик (Java),ООО 1С-Старт,"['API', 'знание', 'boot', 'REST', 'Spring', 'Backend', 'Spring Boot', 'REST API', 'Java']",3,Московская область,Россия,,200000.0,
Fullstack разработчик PHP,Smartis,"['JavaScript', 'Vue.js', 'знание', 'PHP', 'СУБД', 'ClickHouse', 'Web', 'MySQL', 'Laravel']",3,Московская область,Россия,,205000.0,
Разработчик ЦФТ (МКБ),ООО ИЦ АЙ-ТЕКО,"['ЦФТ', 'банк', 'ЦФТ-Банк', 'АБС']",6,Московская область,Россия,,,
Программист С++,ООО Сорб групп,"['TCP', 'UDP', 'знание']",1,Московская область,Россия,,,
Инженер-программист,ФГУП Всероссийский научно-исследовательский институт автоматики им. Н.Л. Духова ( ГК Росатом),['инженер'],1,Московская область,Россия,,170000.0,
AI-разработчик / Full-stack разработчик / Prompt Engineer (офис),ГК СИГМА-ПРОФИ,"['данных', 'claude', 'Backend', 'Базы данных', 'Vercel', 'Make', 'Figma', 'Frontend', 'Cursor']",1,Московская область,Россия,,,
Backend-разработчик (Junior),Группа компаний «БПО»,"['.NET', 'it', 'Vue.js', 'JavaScript', 'C', 'MS SQL', 'C#', 'SQL']",0,Московская область,Россия,,40000.0,
Ведущий разработчик 1С,МФК Олимпийский,['1С'],3,Московская область,Россия,,,
Golang developer,MIND Software,"['Linux', 'знание', 'уверенное владение', 'Go', 'архитектуры', 'GOlang']",3,Московская область,Россия,,,
Флейворист / Технолог-разработчик,ООО Кема Клаб,['Ответственность'],1,Московская область,Россия,,172000.0,
.NET Backend разработчик,ФинГрад,"['Linux', 'Алгоритмы и структуры данных', 'MobX', 'классические алгоритмы', 'React', 'Docker', 'SQL', 'алгоритмы', 'структуры данных', 'данных']",6,Московская область,Россия,,,
Middle/Senior Разработчик Python,ООО ИЦ АЙ-ТЕКО,,3,Московская область,Россия,,,
Ведущий Python (PyTorch) разработчик,ООО ИТ-Экспертиза,"['deep', 'Python', 'Deep Learning', 'PyTorch']",6,Московская область,Россия,,,
Java разработчик Middle+,Right Line,"['Kotlin', 'Java 11', 'опыт программирования', 'Java', 'java 11+']",3,Московская область,Россия,,,
Разработчик 1С,ROSSKO,"['Интеграция 1С', 'Интеграция', 'Web/HTTP', 'http-сервисы', '1С', 'сервисы', 'Web', 'HTTP', 'данных']",3,Московская область,Россия,,260000.0,
Backend разработчик joomla,ООО Мир рыболова,"['документации', 'Joomla', 'умение разбираться в чужом коде', 'понимание', 'MVC']",1,Московская область,Россия,,,
Программист / разработчик 1С,ООО ТАНАИС,"['уверенное владение', '1С']",1,Московская область,Россия,,200000.0,
Разработчик Dynamics AX 365,Spice IT,,3,Московская область,Россия,,,
PHP Разработчик (Bitrix24),ДУСЛАР,"['1С-Битрикс', 'PHP 7.4', 'PHP', '1С', 'Битрикс', 'PHP 7.4+']",1,Московская область,Россия,,,
Frontend-разработчик (Vue),ООО Платформа Трим,"['HTML5', 'знание', 'CSS3', 'Vuex', 'Frontend', 'LESS', 'SCSS']",3,Московская область,Россия,,,
ETL/BI разработчик,АНО Агентство по технологическому развитию,"['PostgreSQL', 'BI', 'SQL', 'данных']",1,Московская область,Россия,,,
Программист 1С,ООО Дрон Инжиниринг,"['предприятие', '1С', '1С:Предприятие', 'знание']",3,Московская область,Россия,,225000.0,
Python-разработчик (с ML),ООО ИЦ АЙ-ТЕКО,"['документации', 'знание']",3,Московская область,Россия,,,
Программист 1С,ООО Центральная Площадь,,6,Московская область,Россия,,250000.0,
Разработчик C (User space) Middle+,ООО АМИКОН,"['Linux', 'C', 'знание', 'Ethernet', 'UDP', 'TCP', 'ip', 'понимание']",3,Московская область,Россия,,,
Разработчик Powershell и VBScript,ООО РегионСтройКомплект,"['VBScript', 'системного', 'PowerShell', 'знание']",3,Московская область,Россия,,250000.0,
Senior PHP разработчик (Symfony),АМТЕХ,,3,Московская область,Россия,,,
Ведущий Разработчик Битрикс 24,ООО А7-ТЕХНОЛОГИИ,"['Vue.js', 'Framework', 'PHP', 'знание', 'Bitrix Framework']",1,Московская область,Россия,,,
Senior IOS Swift разработчик,ООО Корпу,,6,Московская область,Россия,,300000.0,
Backend разработчик JAVA,АО Институт экономики и развития транспорта,"['знание', 'Разработка', 'SQL', 'Java Core', 'Java', 'core']",1,Московская область,Россия,,,
Разработчик 1С,ЭЛЕКТРОЩИТ САМАРА,,3,Самарская область,Россия,,,
Разработчик бекэнда (Backend developer) Go,Президент Сервис Консалт,"['Go', 'Ответственность', 'технологии']",3,Московская область,Россия,,,
Инженер - разработчик С++,ООО ВК ИТС,"['C++', 'знание']",1,Московская область,Россия,,200000.0,
Инженер разработчик SCADA,Актив контролс,"['platform', 'знание']",0,Московская область,Россия,,,
Программист Bitrix 24,МосТАБАК,"['Git', 'понимание']",3,Московская область,Россия,,270000.0,
Инженер-программист Python,РОСКОСМОС,"['Python', 'тесты']",3,Московская область,Россия,,,
Разработчик Java/Jakarta,Инсайрес,"['Framework', 'Linux', 'Hibernate', 'Spring', 'PostgreSQL']",3,Московская область,Россия,,,
Java разработчик (продукт «Единый клиент»),HFLabs,"['Lucene', 'boot', 'Security', 'Spring', 'поисковый движок', 'Java', 'Apache', 'undertow', 'MVC']",3,Московская область,Россия,,,
Программист 1С,ООО БИОНОВА,['знание'],1,Московская область,Россия,,,
Senior Fullstack-разработчик,ООО Научно-медицинская фирма Лаборатория функциональной диагностики,[],3,Московская область,Россия,,350000.0,
Fullstack-разработчик/Backend+frontend инженер-программист,Интегрант,"['Django', 'JavaScript', 'знание', 'full', 'Backend', 'TypeScript', 'Python', 'Stack', 'Frontend']",3,Московская область,Россия,,,
Старший Python-разработчик,ООО МФК Фордевинд,"['Python', 'Git']",6,Московская область,Россия,,350000.0,
WordPress Backend Developer,ИП Москвина Наталья Александровна,"['Медиа', 'Wordpress', 'FFmpeg', 'CDN']",3,Московская область,Россия,,144000.0,
Game Developer / Разработчик игровой логики,ООО ВАЙБ ГЕЙМС,"['другие', 'unreal', 'код', 'Unity']",1,Московская область,Россия,,,
Full-stack разработчик PHP,Goldfish media,"['AI', 'документации', 'знание']",1,Московская область,Россия,,200000.0,
Python-разработчик (AI-First подход),KTS,"['Asyncio', 'FastAPI', 'Backend', 'Python', 'PostgreSQL']",3,Московская область,Россия,,,
Front-End разработчик (Angular),Клируэй Текнолоджис,,6,Московская область,Россия,,,
Менеджер - разработчик детской продукции,ООО Мобиле,['понимание'],1,Московская область,Россия,,120000.0,
Разработчик алгоритмов и моделей устройств,МНПК АВИОНИКА,['знание'],0,Московская область,Россия,,,
Fullstack-разработчик (PHP / October CMS),ДЖЕЙКЕТ РАБОТА,"['BEM', 'JavaScript', 'HTML5', 'PHP', 'знание', 'CSS3', 'php 8+', 'уверенное владение', 'PHP 8', 'Laravel', 'SCSS']",3,Московская область,Россия,,,
"Технолог-разработчик (БАД, фармпроизводство, косметика)",ООО Юниэко,,1,Московская область,Россия,,,
Программист 1С,ФГБОУ ВО Государственный Университет по Землеустройству,['знание'],1,Московская область,Россия,,,
Middle PHP-разработчик (Bitrix),AGIMA,"['MySQL', 'Bitrix Framework', 'Framework', 'PHP']",1,Московская область,Россия,,,
"Java-разработчик (Senior), проект кредитование",SkillStaff,"['JMS', 'EE', 'Java EE', 'Java', 'понимание', 'JPA']",6,Московская область,Россия,,,
Разработчик платформы Docsvision (C#/.Net),АО Москоллектор,"['API', 'сэд', 'BPM', 'знание', 'REST', 'ecm', 'REST API', 'SOAP', 'архитектуры', 'Docsvision', 'понимание']",3,Московская область,Россия,,,
Универсальный IT-специалист / веб-разработчик,ООО ТД Сорса,"['JavaScript', 'PHP', 'CMS', 'Backend', 'CSS', 'Python', 'HTML']",1,Московская область,Россия,,190000.0,
Технический лидер Golang разработки | Ведущий Golang разработчик,ООО ИТ-Экспертиза,['Go'],6,Московская область,Россия,,,
Ведущий разработчик 1С,СК Ренессанс Жизнь,"['предприятие', '1С']",1,Московская область,Россия,,,
PHP программист/разработчик (Junior backend developer),amoCRM,"['MySQL', 'PHP 7.4', 'PHP']",1,Московская область,Россия,,120000.0,
Ведущий разработчик средств РЭБ,АО НПЦ ЭЛВИС,,1,Московская область,Россия,,,
Программист 1С,ООО МЕДПЛАНТ,"['типовые конфигурации', '1С:Предприятие 8.3', 'СКД', 'предприятие', '1С', '1С:Предприятие', 'Конфигурации', 'система компоновки данных', 'данных']",3,Московская область,Россия,,150000.0,
Программист 1С,ALEXROVICH.RU,"['предприятие 8', 'Разработка', '1С:Предприятие 8', 'предприятие', '1С', '1С:Предприятие', 'опыт программирования']",1,Московская область,Россия,,,
Технолог-разработчик хлебопекарного направления,Прайм Стар,"['Microsoft', 'знание', 'office']",3,Московская область,Россия,,120000.0,
"Go разработчик, ML платформа",Ozon Tech,"['Go', 'Kubectl', 'понимание']",3,Московская область,Россия,,,
Инженер-программист,ООО Инконтрол,,1,Московская область,Россия,,,
Frontend Developer,ФГБУ Редакция Российской газеты,"['Next.js', 'JavaScript', 'HTML5', 'CSS3', 'TypeScript', 'понимание']",1,Московская область,Россия,,,
C# разработчик (в офис),ООО Клеверенс Софт,"['.NET', 'C', 'C#', 'уверенное владение', 'данных']",1,Московская область,Россия,,110000.0,
Программист в AI-проект,Щеглов Тимур ВИкторович,"['claude', 'code']",3,Московская область,Россия,,90000.0,
Алгоритмист - разработчик (Applied ML),АО Национальное Бюро Информатизации,"['aiohttp', 'Asyncio', 'Python', 'C++', 'понимание']",3,Московская область,Россия,,,
Программист WMS Axelot,ООО Фитокосметик,,3,,,,,
Программист,"Марка, издательско-торговый центр","['C', 'Kotlin', 'Objective-C', 'Java', 'понимание', 'Swift']",1,Московская область,Россия,,,
Программист 1С,DORS,"['знание', '1С', '1С:Бухгалтерия 3.0', 'бухгалтерия', '1С:Бухгалтерия']",3,Московская область,Россия,,230000.0,
Программист-разработчик 1С,Henderson. Офис,"['знание', '1С', 'SQL', 'среды']",3,Московская область,Россия,,,
PHP-программист (Middle),Sintec Group,"['Doctrine', 'RabbitMQ', 'PHP', 'знание', 'Go', 'Symfony', 'gRPC']",3,Московская область,Россия,,,
Java / Kotlin (Middle) разработчик,Seeneco,"['Backend', 'понимание', 'Java', 'SOLID']",3,Московская область,Россия,,200000.0,
Разработчик мобильных приложений (iOS / Android),ООО В Кадре,"['Kotlin', 'знание', 'Fullstack', 'IOS', 'Android', 'Swift']",3,Московская область,Россия,,240000.0,
Программист микроконтроллеров,ООО Кибертех-Сигнал,"['данных', 'C']",3,Московская область,Россия,,,
"Backend-разработчик (Laravel, PHP)",ООО Кредит Бустер,['Git'],3,,,,150000.0,
Продуктолог на маркетплейсы / Разработчик продукта,ИП Комаров Максим Константинович,,1,Московская область,Россия,,,
Python developer,ООО Клауд Ком,"['Поддержка', 'dags', 'знание', 'Python', 'Apache AirFlow', 'Проектирование', 'Apache', 'оптимизация']",1,Московская область,Россия,,,
Старший fullstack-разработчик PHP (Laravel/Vue.JS),ООО МФК Фордевинд,"['PHP', 'знание', 'Ajax', 'CSS', 'код', 'MySQL', 'Laravel', 'JQuery', 'PHP (Laravel)']",6,Московская область,Россия,,350000.0,
"Python-разработчик (Web, Tanks Blitz)",Леста Игры,"['aiohttp', 'Django', 'FastAPI', 'Python']",3,Московская область,Россия,,,
Python-разработчик (HR-платформа Пульс),Сбер. IT,"['Asyncio', 'Multiprocessing', 'multithreading', 'Python', 'SQL', 'понимание']",3,Московская область,Россия,,,
Разработчик PHP / Битрикс / Symfony,ООО Прогрессив Медиа Девелопмент,"['PHP', 'знание', 'опыт проектирования', 'MySQL', 'SOLID']",3,Московская область,Россия,,,
PHP-разработчик,EcoFinance,"['OOP', 'знание', 'PHP', 'Symfony', 'понимание']",3,Московская область,Россия,,,
Программист 1С,ФГУП ГлавНИВЦ Управления делами Президента Российской Федерации,"['1С:БГУ', '1С', '1С:ДГУ', 'знание']",3,Московская область,Россия,,,
Веб-разработчик на «1С-Битрикс»,Студия Артемия Лебедева,"['1С-Битрикс', 'JavaScript', 'PHP', 'знание', 'CSS', 'уверенное владение', '1С', 'SQL', 'Битрикс', 'HTML']",3,Московская область,Россия,,216150.0,
Backend-разработчик (PHP/GO),ООО Лудинг,"['PHP', 'REST', 'Backend', 'lifecycle', 'понимание', 'архитектуры', 'Laravel', 'HTTP', 'PHP (Laravel)']",3,Московская область,Россия,,,
SQL-разработчик,metaLead,"['Blazor', 'ssas', 'OLAP', 'C', 'SSRS', 'C#', 'BI', 'ASP.NET']",1,Московская область,Россия,,,
Backend-разработчик (middle) php+symfony,Правительство Московской области,"['Swagger', 'MariaDB', 'PHP', 'знание', 'Postman', 'Symfony']",3,Московская область,Россия,,,
Python Developer,Богачева Анна Алексеевна,"['Django', 'FastAPI', 'знание', 'REST', 'Flask', 'Backend', 'Python', 'gRPC']",3,Московская область,Россия,,,
Программист 1С,СберСпасибо,['Конфигурации'],3,Московская область,Россия,,,
Frontend-разработчик (WebApp / MAX UI),ООО ДЖЕМСТИМ,"['oauth2', 'JWT', 'API', 'React']",3,Московская область,Россия,,,
Разработчик ML,"МАГНИТ, Розничная сеть. IT","['Python', 'стек технологий', 'SQL', 'понимание']",3,Московская область,Россия,,,
Разработчик Java,ООО Лоция,"['Data', 'boot', 'Spring', 'Java 17', 'Java 17+', 'JPA', 'Java', 'core', 'MVC']",3,Московская область,Россия,,,
Backend-разработчик,ООО Айтисокет,"['Node.js', 'PHP', 'знание', 'Python', 'Go', 'архитектуры', 'Java', 'понимание']",0,Московская область,Россия,,100000.0,
PHP-разработчик (middle/senior),Школа рекламы,,3,Ленинградская область,Россия,,,
Администратор сайта / Web-разработчик,Профсейф,,1,Московская область,Россия,,,
Разработчик Java в Биллинг Маркета,Яндекс.Маркет,"['YT', 'Legacy', 'pg', 'данных']",3,Московская область,Россия,,,
Fullstack-разработчик,ООО ЕТК-Инвест,['Поддержка'],1,Московская область,Россия,,120000.0,
Backend-разработчик,VIC Studio,"['компоненты', 'Java', 'PHP']",1,Московская область,Россия,,115000.0,
Инженер-разработчик,ООО Сенсорика-М,[],1,Московская область,Россия,,,
Golang-разработчик,ООО Градиент,"['Linux', 'Kubernetes', 'jetstream', 'Программирование', 'TCP/IP', 'ip', 'Docker', 'GOlang', 'TCP', 'сетевое', 'NATS', 'gRPC']",6,Московская область,Россия,,,
Старший разработчик в группу GPU-инфраструктуры,"Облачные, инфраструктурные сервисы и Яндекс 360","['C', 'Python', 'Go', 'код', 'C++', 'C/C++']",6,Московская область,Россия,,,
Разработчик C++,ООО Градиент,"['Linux', 'Git', 'архитектура', 'Clang', 'STL', 'toolchain', 'CMake']",6,Московская область,Россия,,,
Frontend-разработчик,ООО Периодика Пресс,"['TypeScript', 'React', 'знание']",3,Московская область,Россия,,,
Senior разработчик ПЛИС (SoC FPGA) [ИРТЕЯ],"""МТС"", Работа в IT","['IDE', 'Verilog', 'знание']",1,Московская область,Россия,,,
Разработчик C++,ООО Сенсорика-М,"['C', 'знание', 'C++', 'C/C++', 'понимание']",3,Московская область,Россия,,,
Разработчик функционала на платформе DocsVision,Selecty,,1,Московская область,Россия,,,
Frontend-разработчик,Юрент,"['умение разбираться в чужом коде', 'Angular', 'код']",3,Московская область,Россия,,,
IOS разработчик,ПАУЭР,"['API', 'REST', 'UI', 'REST API', 'View']",3,Московская область,Россия,,,
Разработчик PostgreSQL,РДТЕХ,"['arenadatadb', 'СУБД', 'PostgreSQL', 'SQL', 'оптимизация']",3,Московская область,Россия,,,
