profession,currency,vacancyRichText,education,experience,firm_name,town_name,region__title,country_title,client_staff_count,position,salary
Контент-менеджер,rub,"Обязанности: 1. Публикация материалов на сайтах СПбГУ (платформы Tilda, Drupal, Bitrix) 2. Предпубликационная подготовка текстов: корректура, минимальная редактура 3. Работа с изображениями (подбор, минимальная обработка) 4. Создание лэндингов и информационных страниц, разработка новых разделов 5. Техническое обслуживание сайтов Требования: 1. Неполное высшее 2. Приветствуется опыт работы в сфере образования 3. Необходимые профессиональные навыки и знания: - опыт работы в админ-панелях популярных CMS (Tilda / Drupal / Bitrix / Joomla / WP) - уверенное владение HTML и CSS, отличное владение русским языком - профессиональная насмотренность и базовое знание того, как устроена работа сайтов Мы ищем заинтересованного и чрезвычайно скрупулёзного сотрудника с тягой к перфекционизму. Если вы умеете работать в команде, переключаться между задачами и определять их приоритет — мы ищем вас Обязательное предоставление ссылок на сайты, с которыми вы работали или портфолио Условия: 1. Официальное оформление в соответствии с Трудовым законодательством РФ (заключается бессрочный трудовой договор), оплачиваются отпускные и больничные 2. Срок испытания – 3 месяца 3. График: пятидневная рабочая неделя, с 9:00 до 17:45. Перерыв на обед с 13:00 до 13:45 4. Заработная плата 63 000 рублей на испытательный срок, 75 000 рублей после испытательного срока до вычета налогов 5. Место работы: Санкт-Петербург, Университетская набережная, 7-9-11, Управление маркетинга и медиакоммуникаций ",Не имеет значения,От 1 года,ФГБОУ ВО Санкт-Петербургский государственный университет,Санкт-Петербург,Ленинградская область,Россия,более 5000,['Контент'],69000.0
Инженер-электроник 1 категории,rub," Обязанности: Участие в проверке технического состояния электронного оборудования. Участие в приемке электронного оборудования после капитального ремонта. Освоение вновь вводимого в эксплуатацию электронного оборудования. Ведение учета и анализа технических неисправностей электронного оборудования. Разработка мероприятий для снижений выходов из строя оборудования. Составление заявки на электронное оборудование и запасные части к нему. Ведение учета документации с подрядными организациями. Требования: Высшее (техническое) образование и стаж работы не менее 3-х лет. Условия: Ежегодный оплачиваемый отпуск; Оплату больничных листов; Медицинское обслуживание для сотрудников и санаторно-курортное лечение Коллективный договор и профсоюз; Выплаты материальной помощи в различных жизненных ситуациях; Доплаты к заработной плате от 1 года работы; Возможность получить высшее и среднее профессиональное образование за счет предприятия; Льготные путевки в ДОЛ «Зарница» для детей сотрудников; Активная молодежная политика, спортивные и культурные мероприятия. ",Не имеет значения,От 3 лет,"СПб ГУП ""Горэлектротранс""",Санкт-Петербург,Ленинградская область,Россия,более 5000,['Инжиниринг'],95000.0
Сетевой инженер по ИБ,rub,"Чем предстоит заниматься: Внедрение и сопровождение систем сетевой безопасности (NGFW Usergate, NGFW Palo Alto); Администрирование и сопровождение сетевой инфраструктуры в области ИБ (кампусная, распределенная, ЦОД); Диагностика и устранение инцидентов сетевой инфраструктуры в области ИБ; Разработка проектных решений по расширению и модернизации сетевой инфраструктуры в области ИБ; Разработка и ведение технической, сопроводительной, архитектурной документации; Организация и проведение тестирования новых технологических решений, сетевого оборудования. Что мы ждем от кандидатов: Опыт администрирования и внедрения решений для построения распределенных сетей и сетей ЦОД на базе оборудования Cisco, Huawei; Опыт и знания не ниже CCNP Security, CCNA RS; Опыт администрирования МЭ UserGate, Palo Alto; Технический английский (работа с документацией). Что мы предлагаем: Интересные и масштабные задачи в стабильной, развивающейся компании; Привлекательная заработная плата; Сильная и дружная команда профессионалов, готовых делиться опытом; Демократичное общение с руководителями, которые поощряют твою инициативу; Планирование карьеры —сотрудники компании имеют возможность профессионального и карьерного развития; Насыщенная корпоративная жизнь; ДМС широкого спектра со стоматологией после испытательного срока; Возможность выбрать начало дня с 8/9/10 утра; Комфортабельный офис класса А на территории которого находятся фитнес-клуб/аптеки/магазины/столовые/кафе/парковые зоны. ЛОКАЦИЯ И ТРАНСПОРТНАЯ ДОСТУПНОСТЬ: Офис м. Славянский бульвар/ БКЛ Давыдково БЦ ""Верейская Плаза 4""; От м.Славянский бульвар доставка корпоративным транспортом – 10 минут; От БКЛ Давыдково общественным транспортом - 10 минут. ",Не имеет значения,От 3 лет,ЦЕМРОС,Москва,Московская область,Россия,более 5000,"['Администрирование баз данных', 'Инжиниринг', 'Сетевые технологии']",0.0
Аналитик,rub," Обязанности: - Исполняет требования нормативных документов вышестоящих
организаций, локальных нормативных актов по вопросам сбора, анализа и обработки
данных. - Осуществляет работы по сбору, обработке, анализу, интерпретации
данных из различных внешних и внутренних источников в целях развития Учреждения
и его отдельных направлений деятельности, принятия управленческих решений. - Осуществляет работы по проведению мониторинга и анализа актуальной ситуации и динамики изменений на рынке
труда, прогноза востребованности кадров и компетенций. - Осуществляет работы по ведению информационных ресурсов и баз данных в
соответствии с перечнем мероприятий государственного задания. - Осуществляет взаимодействие с образовательными и иными
организациями-респондентами в рамках проведения мониторинговых и аналитических
исследований. - Принимает участие в подготовке
методической
документации по
работе с цифровой платформой Учреждения. Требования: Высшее профессиональное образование. Не менее
одного года в области анализа данных. Дополнительное
профессиональное образование - программы повышения
квалификации в области методов и инструментальных средств анализа больших
данных. Опыт работы в бюджетных организациях приветствуется. Условия: Оформление по ТК РФ, На территории работодателя, Отпуск 28 календарных дней. ",Не имеет значения,От 1 года,ГБУ ДПО ЦОПП СПб,Санкт-Петербург,Ленинградская область,Россия,50 — 100,['Аналитика'],113000.0
Системный администратор,rub," Завод ПЛАРУС - единственная в РФ компания полного цикла по переработке б/у пластиковых бутылок в гранулы для пищевой упаковки. Наша миссия - сохранять экологию через вовлечение вторсырья в переработку. Мы находимся по адресу: г.Солнечногорск, Промзона Рекинцо, стр.1 Приходите в нашу команду, мы - лучший завод по переработке пластика в РФ! Системный администратор - ключевая роль в обеспечении стабильной работы IT-инфраструктуры компании. Условия • график работы 5/2 • корпоративный транспорт Клин-Солнечногорск-завод • для жителей других городов компенсируем стоимость проезда или предоставляем общежитие • бесплатное питание • выдача спецодежды • бесплатные путевки в летние лагери для детей сотрудников, командообразующие мероприятия; новогодние подарки; для работников поздравительные сертификаты ко дню рождения; оказание материальной помощи в трудных жизненных ситуациях. • проводим полное обучение с наставником Обязанности • резервное копирование систем и данных • установка, настройка ПО и прикладного оборудования • обслуживание и сопровождение серверов, рабочих станций, периферийного и сетевого оборудования • решение проблем у пользователей Требования • хорошее знание серверных продуктов и операционных систем Microsoft и базового офисного ПО • уверенное владение пакетом MS Office • аккуратность, пунктуальность, самостоятельность, коммуникабельность, исполнительность, ответственность • способность быстро учиться и быстро решать проблемы • опыт работы от 1 года • образование средне-специальное или высшее ",Не имеет значения,От 1 года,Завод по переработке пластмасс ПЛАРУС,Солнечногорск,Московская область,Россия,менее 50,['Системное администрирование'],112500.0
Продавец-консультант в ТЦ Мурино,rub," КОГДА ТЫ С НАМИ: Работаешь с 1 дня по ТК РФ Получаешь стабильный доход (оклад и премия) Выбираешь удобный график работы Можешь брать подработки и увеличивать свой доход Вливаешься в коллектив и обучаешься быстрее, ведь рядом с тобой опытный наставник Участвуешь в конкурсах и мероприятиях Обучаешься в корпоративной онлайн-библиотеке для роста и профессионального развития Тебе открываются карьерные перспективы роста Экономишь за счёт скидок и специальных предложений компаний-партнёров Получаешь подписку М.Комбо – пакет привилегий: ежемесячные бонусные рубли, бесплатная доставка, скидки на установку/ремонт, приоритетную поддержку ПРИХОДИ САМ, ПРИВЕДИ ДРУГА И ПОЛУЧИ ДОПОЛНИТЕЛЬНОЕ ВОЗНАГРАЖДЕНИЕ С НАМИ ТЫ БУДЕШЬ: Продавать качественную технику Консультировать клиентов Разбираться во всех новинках мира электроники Экспертом по технике МЕЧТАЕШЬ СТАТЬ ПОПУЛЯРНЫМ? ЕСТЬ ВОЗМОЖНОСТЬ СТАТЬ БЛОГЕРОМ-ЭКСПЕРТОМ В МИРЕ ТЕХНИКИ! ПРИХОДИ – ОБУЧИМ! ДЛЯ НАС ЦЕННО: Стремление работать и зарабатывать Вежливость и умение находить общий язык с людьми Готовность обучаться и развиваться вместе с компанией НЕТ ОПЫТА РАБОТЫ? ВСЕ РАССКАЖЕМ И НАУЧИМ! Данная позиция будет тебе интересна, если рассматриваешь вакансии: продавец – консультант, менеджер по продажам, начинающий специалист, специалист офиса продаж, менеджер по работе с клиентами, менеджер в салоне связи или работал в компаниях: Wildberries, Вайлдберриз, Ozon, Озон, Мегафон, DNS, ДНС, МТС, Теле2, Tele2, РТК, Ростелеком, Лемана Про, Спортмастер, Яндекс, Билайн, Эльдорадо, МВидео, Xiaomi, Huawei, Honor, Redmond, Сбер, Первый Сотовый, Samsung, Ситилинк, Петрович, Технопарк и в других магазинах цифровой и бытовой техники. ",Не имеет значения,Без опыта,М.Видео-Эльдорадо,Санкт-Петербург,Ленинградская область,Россия,более 5000,"['Web-дизайн (UI/UX)', 'Web-верстка']",69000.0
Контент-стратег,rub," Ищем контент-стратега в Точка Банк. Мы создаём онлайн-банк и экосистему сервисов для бизнеса. В нашей команде больше 4 500 сотрудников, а сервисами пользуются более 700 000 клиентов. О команде: Ты будешь работать с командой, которая превращает внутреннюю экспертизу компании в интересные продукты и сервисы для предпринимателей. Что делать: С нуля выстраивать контент-направление на базе внутренней экспертизы: формировать смыслы, выбирать приоритеты, запускать MVP-форматы, тестировать гипотезы и отказываться от неэффективных решений. Разрабатывать контент-стратегию: планировать контент на месяцы вперёд под бизнес-цели и анализировать его эффективность для последующей корректировки. Управлять процессом создания контента: ставить задачи копирайтеру и контент-дизайнеру, готовить брифы, приоритизировать работу в плане и контролировать качество выполненной работы. Изучать целевую аудиторию и путь пользователя, формировать и проверять контент-гипотезы на основе данных. Выстраивать прозрачные и эффективные рабочие процессы, обеспечивая порядок в контент-плане и понятную коммуникацию. Ты подойдёшь, если: Есть опыт работы контент-маркетологом в B2B от 3 лет. Видишь связь контента с бизнес-метриками и обладаешь редакторским мышлением. Понимаешь, как контент влияет на ключевые бизнес-метрики, такие как привлечение лидов, рост продаж и уровень вовлечённости аудитории. Есть опыт координации работы контент-команды или подрядчиков: постановки задач, приоритизации работы, контроля качества и соблюдения сроков. Умеешь управлять работой команды и выстраивать эффективные процессы. Умеешь аргументировать свои решения и расставлять приоритеты. Будет плюсом знания SEO, а также опыт дистрибуции и масштабирования контента. Что ждёт тебя в Точка Банк:ну Официальная зарплата от 170 000 ₽. Точная сумма зависит от твоих навыков и ожиданий — обсудим их на собеседовании. Это сумма до вычета налогов. Помни, что с 2025 года ставка НДФЛ меняется в зависимости от суммарного дохода за год. Пятидневная рабочая неделя с гибким началом и окончанием дня. Удалённая работа или работа в офисе в городах присутствия. Наши офисы — это продуманные опенспейсы с комфортными рабочими местами и зонами отдыха. Возможность работать по-своему. Никто не будет навязывать свои методы, трекать время и контролировать каждое действие. Делаем так, чтобы каждый был услышан и мог влиять. Продуманная адаптация и команда, с которой легко работать. Бесплатное обучение: курсы за счёт компании, своя библиотека и платформа с онлайн-обучением. Есть как собственные программы, так и партнёрские. Сильное комьюнити. Маркетологи, дизайнеры, креативные продюсеры и другие специалисты объединяются в комьюнити, чтобы учиться друг у друга, обмениваться опытом и расти по грейдам. Комфорт не только в работе, но и в жизни. После испытательного срока: ДМС со стоматологией, психолог, чекапы здоровья и 4 дополнительных дэй-оффа в год. Бонусы от партнёров: Skillbox, Skyeng, Яндекс Практикум, Ясно и других. Онлайн-кабинет сотрудника, где ты можешь заказать справку, поставить отпуск или отгул, заказать технику или посмотреть выплаты. Активная корпоративная жизнь: устраиваем кинопоказы, спортивные марафоны и корпоративы, которые потом ещё долго вспоминают. Команда Точка Банк — одна из самых сильных и смелых на рынке Умеем всё делать сами Придумываем и запускаем рекламу, создаём мерч, медиа и спецпроекты. Каждая задача — это новый проект, который мы прорабатываем с нуля. Работаем с лучшими Крутые проекты нам помогают делать лучшие агентства, продакшн-студии, художники, фотографы, режиссёры и музыканты. Задаём тон Наши ролики набирают по 50 миллионов просмотров и занимают первые места на международных и российских фестивалях. Работаем там, где удобно Не ограничиваем сотрудников в передвижении: можно работать из дома, в любом офисе Точки или из другой страны. ",Не имеет значения,От 3 лет,Точка банк,Москва,Московская область,Россия,менее 50,['Контент'],170000.0
Контент-маркетолог,rub," Привет, В команде #mktngCROC открылась вакансия Контент-маркетолога (middle grade), и, возможно, это наш шанс, наконец, встретиться лично, чтобы делать самые интересные проекты в ИТ. Из 300 крупнейших российских компаний, ~ 50% - клиенты КРОК, поэтому нам точно будет, где прокачать отраслевую экспертизу и показать крутой маркетинг ;) Ваши задачи Подготовка материалов по продвижению наших технологических и отраслевых практик при поддержке команд PR, контента, аналитики, ивент & диджитал “упаковка” проектного опыта и важных инфоповодов совместно с PR поиск и создание новых форматов комплексных коммуникаций и оценка эффективности их продвижения участие в формировании и/или актуализации портфеля решений, совместно с маркетологом и технологическим департаментом развитие компетенции “управление контентом”, создание шаблонов и настроек для более качественного и оперативного реагирования на запросы коллег Наши ожидания Для того, чтобы наше знакомство состоялось, ниже 10 вопросов для самопроверки, которые помогут тебе и нам быть точными в ожиданиях друг от друга: 1 - слово “контент” для меня значит намного больше, чем текст, видео, лендинг или презентация. Мне интересно создавать новые форматы контента и участвовать в проработке стратегий по его продвижению 2 - я помогаю экспертам и техническим специалистам найти самое крутое и интересное в их проектах и рассказать об этом в нужном формате и языком, понятным заказчикам и рынку 3 - я знаю ответ на вопрос “как рассказать об этой технологии, чтобы ее захотели купить”; умею “упаковывать” идеи; нахожу нужные смыслы и ценности в сложной технической информации и могу рассказать об этом просто, интересно, в востребованном формате 4 - я умею делать крутые презентации, но pptx предпочитаю новые диджитал-форматы подачи информации 5 - я помогаю формулировать УТП, продумывать технику ""первого захода"" к заказчику, писать письма-предложения для работы с клиентами и собирать для конкретных запросов нужные креативы 6 - я знаю тренды и отраслевые новости моего направления, оперативно и интересно создаю тематические дайджесты 7 - качество своей работы я оцениваю не только фактом созданного материала, но и количеством реакций на него, пересылок и др.: да, я всегда собираю обратную связь на результаты своей работы 8 - я участвую в профессиональных мероприятиях, готовлю контент для них: материалы для спикеров, предложения участникам, описания проектов, ставлю ТЗ на визуальное оформление 9 - я подписан на профильные телеграм-каналы и постоянно прокачиваю свою насмотренность в поисках крутой упаковки контента, могу считать тренд в инфоповодах и быстро включиться в него ситуативной реакцией от лица своей компании 10 - мне важно работать в компании, которая дает возможность профессионального и карьерного развития, ценит мою уникальность, сопричастна к социально значимым инициативам и проектам Если в твоих ответах 10 из 10 - ""да"", пожалуйста, отправляй резюме Другие вакансии Digital marketing manager PR-менеджер (продуктовое направление) Менеджер по событийному маркетингу Digital-маркетолог Маркетолог Мы предлагаем Зарплату, соответствующую опыту и навыкам прозрачную систему мотивации Работу в компании с аккредитацией в Минцифре Профессиональное развитие курсы и тренинги от корпоративного университета, внешнее обучение за счет компании Well-being-программы расширенный пакет ДМС со стоматологией и психологом, телемедицина 24/7, HotLineCROC Спорт сезонные спортивные программы, современный спортзал для занятий в офисе, беговой клуб, приложение Croc Sport, командные соревнования Яркую корпоративную жизнь совместные путешествия, праздники, тимбилдинги, клуб путешественников Широкий стек технологий и проектов возможность гибко строить свой карьерный трек Возможность делиться экспертизой выступать на внешних и внутренних митапах и конференциях, писать в техноблоги, участвовать в образовательных программах Комфортный офис компенсация питания в CROC Cafe, экосистема сервисов, парковка, корпоративный транспорт от метро ",Не имеет значения,Без опыта,КРОК,Москва,Московская область,Россия,менее 50,['Контент'],0.0
Специалист по тестированию,rub," Ищем специалиста в команду Penetration Testing для проведения тестирований на проникновение и оценки безопасности инфраструктур и приложений заказчиков. Мы работает с заказчиками из разных индустрий - бигтех, крупные экосистемы и банки, телеком и тд. Наша команда работает по нескольким векторам - ищет критические уязвимости, проводит анализ защищенности и редтиминги, а также комплексное тестирование на проникновение. В рамках проектов вам предстоит взаимодействовать с другими специалистами отдела (аппсек, реверс), чтобы обеспечить полный и качественный анализ безопасности. Кроме того, вы будете участвовать в проектах смежных направлений, включая сотрудничество с командой Defensive. Что предстоит у нас делать: Выполнение работ по тестированию на проникновение. Исследования в области информационной безопасности. Выявление и эксплуатация уязвимостей с целью получения привилегированного доступа в целевых системах. Для успешной работы необходимо: Опыт работы в области практического анализа защищенности и тестирования на проникновение. Опыт выявления и эксплуатации уязвимостей Web и сетевых приложениях. Знание и опыт применения методик анализа защищенности (PTES, MITRE ATT&CK). Знание используемых в корпоративной (или промышленной) среде систем и технологий. Знание сетевых протоколов и протоколов авторизации различных систем. Знание скриптовых языков программирования (Powershell, Python). Владение основными инструментами тестирования на проникновение. Технический английский. Будет плюсом: Опыт администрирования Windows/Linux инфраструктур. Владение навыками reverse engineering. Выступления на международных конференциях и опубликованные исследования, уязвимости. Публичные статьи по анализу защищенности различных систем. Знания и опыт работы в высокоспециализированных областях будет плюсом (телекоммуникационные сети, промышленные системы, цифровая обработка сигналов). Мы предлагаем Социальный пакет ДМС и страхование жизни (включая детей) с первого месяца Бесплатное обучение: митапы, конференции, сертификации, 11 иностранных языков Ежемесячный бонус на обеды Оплата мобильной связи Интересная работа Команда лучших экспертов Масштабные задачи Самые современные технологии Расширение технического кругозора Комфортные условия 2 спортзала и сауны прямо в офисе Свой ресторан и бар Врач и массаж в офисе Программа релокации для кандидатов из регионов ",Не имеет значения,От 1 года,Лаборатория Касперского,Москва,Московская область,Россия,менее 50,"['Тестирование, QA']",0.0
Стажер Go разработчик,rub," Продукт обеспечивает реализацию процесса проработки технического решения по подключению абонентов B2B. Представляет собой универсальный интерфейс, сочетающий в себе данные из различных источников (ИС компании), в зависимости от бизнес-роли пользователя. Основная цель – сокращение операционного времени пользователя на взаимодействие с большим количеством информационных систем. ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ Участвовать в развитии функционала; Участвовать в рефакторинге системы; Заниматься реализацией самостоятельных сервисов совместно с разработчиками команды. ЧТО МЫ ОЖИДАЕМ Знания Go; Опыт работы с REST API; Опыт работы с gRPC; Знания основ паттернов проектирования; Опыт работы с PostgreSQL; Приветствуется опыт самостоятельной реализации микросервисов, проектирования API, написания SQL запросов; Наличие олимпиадных достижений (участие в хакатонах и ИТ-мероприятий) будем преимуществом. ЧТО МЫ ПРЕДЛАГАЕМ График работы 30-40 часов в неделю; Развитие в командах профессионалов и опытный наставник, готовый делиться опытом; Мобильная связь за счет компании; Подписка на онлайн-кинотеатр KION, сервис МТС Музыка, книжный сервис Строки от МТС, безлимитные мессенджеры и соцсети; Специальные предложения от партнеров и скидки от продуктов экосистемы МТС; Непрерывное развитие — доступ к курсам и вебинарам корпоративного университета и онлайн-библиотеке. ",Среднее специальное,Без опыта,МТС: СТАРТ КАРЬЕРЫ,Москва,Московская область,Россия,менее 50,"['Аналитика', 'Разработка, программирование']",0.0
Младший бизнес-аналитик,rub," Мы развиваем продукт курьерской доставки, который помогает делать последнюю милю быстрее, стабильнее и удобнее для курьеров и бизнеса. Наша цель - улучшать опыт курьеров и повышать эффективность курьерских операций, опираясь на данные, аналитику и обратную связь пользователей. Вам предстоит: 1. Участвовать в улучшении ключевых курьерских метрик (время доставки, загрузка курьеров, стоимость доставки и др.) совместно с командой; 2. Анализировать текущие бизнес-процессы курьерской доставки, участвовать в их описании (as is / to be); 3. Собирать/определять и структурировать требования 4. Помогать в формировании и проверке гипотез по развитию продукта и улучшению курьерского опыта; 5. Работать с данными: отчёты, дашборды, базовый анализ метрик; 6. Участвовать в наполнении и приоритизации бэклога, подготовке задач для разработки; 7. Помогать в тестировании нового функционала и сборе обратной связи от пользователей; 8. Готовить материалы и презентации для внутренних обсуждений и защит инициатив; 9. Работать в тесном взаимодействии с продукт-менеджером, аналитиками, разработчиками и командой операций логистики Мы ожидаем: 1. Законченное высшее образование (бакалавриат); 2. Понимание продуктового подхода и жизненного цикла продукта; 3. Опыт стажёрских или pet-проектов будет преимуществом; 4. Опыт работы в agile-командах, опыт управления кросс-доменными проектами; 5. Data-driven подход в принятии решений, критическое мышление и аналитический склад ума; 6. Способность четко и структурировано представлять информацию, а также аргументированно отстаивать свою точку зрения 7. Базовое понимание статистики 8. Уверенное владение продуктами MS office PowerPoint; excel. ",Высшее,Без опыта,OZON: Старт карьеры,Москва,Московская область,Россия,более 5000,['Аналитика'],0.0
Сотрудник отдела по фундаментальной разработке,rub," О программе:Карьера в Tesla: Направление AI & Robotics Мы разрабатываем и внедряем автономные системы в автомобилях, роботах и не только. Мы убеждены, что подход, основанный на передовом искусственном интеллекте для компьютерного зрения и планирования, поддерживаемый эффективным использованием инференсного оборудования, — единственный путь к созданию универсального решения для полного автономного вождения, двуногой робототехники и других задач. Фундаментальная разработка (Code Foundations) О проекте: Главные метрики, на которые мы ориентируемся в коде: пропускная способность, задержка, корректность и детерминизм. Чем предстоит заниматься: * Создавать основу для ПО автономного вождения, начиная с самых низких уровней стека, тесно интегрируясь с нашим собственным оборудованием. * Разрабатывать сверхнадежные загрузчики (bootloaders) с поддержкой обновлений ""по воздуху"" (OTA) и настраивать кастомизированные ядра Linux. * Писать быстрый, эффективный по памяти низкоуровневый код для захвата высокочастотных, больших объемов данных с сенсоров и распределения их между несколькими потребительскими процессами — без влияния на задержки доступа к центральной памяти и без лишения критического функционального кода процессорного времени. * Оптимизировать и конвейеризировать вычисления на различных аппаратных блоках обработки, распределенных по нескольким системам-на-чипе (SoC). ",Не имеет значения,Без опыта,Tesla,Москва,Московская область,Россия,более 5000,"['Разработка, программирование', 'Нейросети / Искусственный интеллект', 'AI']",0.0
